date,open_price,high_price,low_price,close_price,volume,turnover
2022-05-25,104.7,110.9,104.7,110.9,130.0,13825.4
2022-05-26,113.1,113.1,113.1,113.1,30.0,3412.7
2022-05-30,115.3,124.4,115.3,124.4,80.0,9668.2
2022-05-31,126.8,126.8,126.8,126.8,30.0,3780.0
2022-06-01,124.4,139.4,124.4,139.4,60.0,7963.0
2022-06-02,136.8,153.3,136.8,153.3,80.0,11688.0
2022-06-03,156.3,168.6,156.3,168.6,70.0,11323.7
2022-06-06,171.9,185.4,171.9,185.4,100.0,18207.0
2022-06-07,189.1,203.9,189.1,203.9,120.0,24102.0
2022-06-08,207.9,224.2,207.9,224.2,100.0,22012.7
2022-06-09,228.0,246.6,228.0,246.6,150.0,36520.0
2022-06-10,251.5,271.2,251.5,271.2,400.0,107996.0
2022-06-13,276.6,298.3,276.6,298.3,2160.0,643794.0
2022-06-14,304.2,328.1,270.0,274.0,48906.0,1.385457e+07
2022-06-15,274.0,274.0,246.6,250.0,34219.0,8.570788e+06
2022-06-16,245.0,274.3,230.0,259.9,10055.0,2.535242e+06
2022-06-17,265.0,275.0,245.1,265.0,8537.0,2.1577572e+06
2022-06-19,270.0,270.0,243.0,243.3,8433.0,2.091193e+06
2022-06-20,243.3,248.1,226.0,229.1,11693.0,2.7062328e+06
2022-06-21,225.0,245.0,225.0,232.5,6532.0,1.5256775e+06
2022-06-22,237.1,237.1,219.5,224.5,7003.0,1.5697929e+06
2022-06-23,228.9,228.9,203.5,209.0,12774.0,2.692192e+06
2022-06-24,205.0,224.4,201.2,213.0,3625.0,763717.5
2022-06-26,217.2,234.0,217.2,230.0,7365.0,1.6612799e+06
2022-06-27,234.6,244.0,224.0,224.0,14086.0,3.263334e+06
2022-06-28,220.0,228.0,220.0,225.0,6150.0,1.3710645e+06
2022-06-29,220.6,232.5,220.6,228.1,11087.0,2.535899e+06
2022-06-30,232.6,241.8,228.4,239.0,10243.0,2.4213628e+06
2022-07-01,235.0,245.8,225.7,245.0,12622.0,3.026795e+06
2022-07-03,249.9,260.1,237.0,256.0,12589.0,3.133508e+06
2022-07-04,261.0,268.1,247.1,247.1,19683.0,5.114301e+06
2022-07-05,242.2,260.0,237.5,239.0,15683.0,3.845419e+06
2022-07-06,243.7,248.1,229.4,246.0,6930.0,1.6403674e+06
2022-07-07,250.9,252.0,240.0,245.0,7220.0,1.754439e+06
2022-07-08,241.0,241.0,233.0,233.0,4562.0,1.0711106e+06
2022-07-11,228.4,233.0,219.0,219.0,7360.0,1.642411e+06
2022-07-12,217.7,231.9,216.1,231.5,3574.0,794889.2
2022-07-13,227.0,246.0,225.0,244.9,6517.0,1.5248418e+06
