date,open_price,high_price,low_price,close_price,volume,turnover
2017-08-03,0.0,323.0,294.0,323.0,775.0,244637.0
2017-08-06,323.0,355.0,300.0,316.0,10396.0,3.333783e+06
2017-08-07,316.0,312.0,285.0,285.0,4374.0,1.288178e+06
2017-08-09,285.0,280.0,257.0,260.0,5869.0,1.515113e+06
2017-08-10,260.0,260.0,238.0,260.0,2022.0,506640.0
2017-08-13,260.0,257.0,239.0,243.0,379.0,92619.0
2017-08-15,243.0,240.0,220.0,221.0,608.0,136848.0
2017-08-16,221.0,227.0,217.0,217.0,528.0,117122.0
2017-08-17,217.0,214.0,209.0,211.0,628.0,132194.0
2017-08-20,211.0,215.0,207.0,210.0,700.0,146070.0
2017-08-21,210.0,218.0,197.0,201.0,1788.0,372928.0
2017-08-22,201.0,207.0,198.0,200.0,6521.0,1.327556e+06
2017-08-23,200.0,199.0,187.0,187.0,3955.0,757350.0
2017-08-24,187.0,195.0,181.0,195.0,4342.0,834660.0
2017-08-27,195.0,200.0,193.0,200.0,2006.0,391950.0
2017-08-28,200.0,201.0,195.0,201.0,280.0,55418.0
2017-08-30,201.0,202.0,197.0,197.0,1851.0,370363.0
2017-08-31,197.0,196.0,188.0,195.0,487.0,94427.0
2017-09-04,195.0,192.0,186.0,186.0,1582.0,299059.0
2017-09-06,186.0,190.0,186.0,190.0,370.0,69632.0
2017-09-07,190.0,190.0,183.0,183.0,1146.0,211837.0
2017-09-10,183.0,183.0,174.0,177.0,968.0,172121.0
2017-09-11,177.0,175.0,166.0,166.0,179.0,30998.0
2017-09-12,166.0,165.0,164.0,164.0,98.0,16116.0
2017-09-13,164.0,163.0,156.0,163.0,184.0,29485.0
2017-09-14,163.0,163.0,160.0,163.0,407.0,65918.0
2017-09-17,163.0,165.0,158.0,159.0,248.0,39778.0
2017-09-18,159.0,165.0,157.0,163.0,603.0,97469.0
2017-09-20,163.0,165.0,161.0,161.0,131.0,21205.0
2017-09-24,161.0,163.0,158.0,163.0,618.0,99240.0
2017-09-25,163.0,169.0,166.0,169.0,80.0,13490.0
2017-09-26,169.0,179.0,169.0,175.0,1151.0,199407.0
2017-10-03,175.0,175.0,172.0,172.0,150.0,26148.0
2017-10-04,172.0,172.0,172.0,172.0,40.0,6880.0
2017-10-08,172.0,173.0,166.0,173.0,94.0,15900.0
2017-10-09,173.0,170.0,168.0,168.0,172.0,29084.0
2017-10-10,168.0,168.0,163.0,168.0,228.0,37866.0
2017-10-11,168.0,168.0,165.0,168.0,76.0,12690.0
2017-10-12,168.0,174.0,168.0,173.0,92.0,15796.0
2017-10-15,173.0,176.0,171.0,176.0,352.0,61108.0
2017-10-16,176.0,185.0,179.0,185.0,541.0,97977.0
2017-10-17,185.0,196.0,183.0,196.0,1005.0,190129.0
2017-10-18,196.0,196.0,195.0,196.0,30.0,5870.0
2017-10-22,196.0,199.0,196.0,199.0,56.0,11054.0
2017-10-23,199.0,198.0,192.0,195.0,422.0,82204.0
2017-10-24,195.0,205.0,195.0,205.0,888.0,176844.0
2017-10-25,205.0,213.0,201.0,201.0,1238.0,250886.0
2017-10-29,201.0,199.0,197.0,199.0,20.0,3960.0
2017-10-30,199.0,197.0,196.0,196.0,88.0,17258.0
2017-10-31,196.0,195.0,190.0,195.0,351.0,67361.0
2017-11-01,195.0,194.0,192.0,194.0,197.0,38188.0
2017-11-02,194.0,194.0,190.0,190.0,258.0,49241.0
2017-11-05,190.0,196.0,187.0,196.0,199.0,37756.0
2017-11-06,196.0,196.0,190.0,194.0,114.0,22000.0
2017-11-07,194.0,191.0,188.0,188.0,20.0,3790.0
2017-11-08,188.0,185.0,182.0,182.0,162.0,29616.0
2017-11-09,182.0,185.0,173.0,185.0,378.0,68564.0
2017-11-12,185.0,182.0,178.0,181.0,142.0,25434.0
2017-11-13,181.0,180.0,179.0,180.0,424.0,76266.0
2017-11-14,180.0,180.0,175.0,180.0,871.0,155119.0
2017-11-15,180.0,181.0,178.0,178.0,225.0,40212.0
