date,open_price,high_price,low_price,close_price,volume,turnover
2019-05-22,160.0,160.0,144.0,144.0,8556.0,1.232994e+06
2019-05-23,145.0,145.0,130.0,130.0,3400.0,443740.0
2019-05-26,124.0,134.0,117.0,134.0,54300.0,6.78272e+06
2019-05-27,132.0,132.0,123.0,131.0,8888.0,1.15056e+06
2019-05-28,131.0,133.0,128.0,133.0,11700.0,1.5285e+06
2019-05-29,131.0,146.0,131.0,146.0,18950.0,2.66211e+06
2019-05-30,148.0,160.0,148.0,160.0,16414.0,2.59291e+06
2019-06-02,163.0,168.0,147.0,152.0,36836.0,5.634956e+06
2019-06-03,152.0,155.0,144.0,155.0,14610.0,2.14907e+06
2019-06-04,156.0,157.0,149.0,149.0,6100.0,921610.0
2019-06-06,151.0,154.0,148.0,149.0,3810.0,571080.0
2019-06-10,150.0,154.0,146.0,147.0,9085.0,1.3467e+06
2019-06-11,149.0,155.0,147.0,148.0,5020.0,748140.0
2019-06-12,147.0,155.0,144.0,148.0,3430.0,503860.0
2019-06-13,146.0,150.0,145.0,146.0,4250.0,624150.0
2019-06-16,148.0,152.0,145.0,152.0,3470.0,506950.0
2019-06-17,149.0,152.0,143.0,148.0,3990.0,588050.0
2019-06-18,146.0,146.0,142.0,146.0,1190.0,172800.0
2019-06-19,144.0,153.0,144.0,144.0,810.0,117650.0
2019-06-20,146.0,148.0,142.0,146.0,1580.0,228130.0
2019-06-23,148.0,148.0,143.0,143.0,800.0,116040.0
2019-06-24,141.0,144.0,141.0,142.0,1270.0,181380.0
2019-06-25,140.0,144.0,140.0,142.0,866.0,122912.0
2019-06-26,140.0,146.0,140.0,146.0,1950.0,279930.0
2019-06-27,144.0,148.0,143.0,144.0,2020.0,290930.0
2019-06-30,142.0,145.0,142.0,142.0,3730.0,532020.0
2019-07-01,141.0,144.0,139.0,141.0,6390.0,896660.0
2019-07-02,139.0,143.0,139.0,141.0,721.0,101717.0
2019-07-03,139.0,142.0,139.0,140.0,1100.0,154080.0
2019-07-04,140.0,142.0,139.0,140.0,1410.0,197740.0
