date,open_price,high_price,low_price,close_price,volume,turnover
2011-03-24,195.0,195.0,195.0,195.0,47.0,9165.0
2011-05-05,195.0,198.0,198.0,198.0,56.0,11088.0
2011-05-08,198.0,195.0,192.0,192.0,49.0,9525.0
2011-05-31,192.0,190.0,190.0,190.0,53.0,10070.0
2011-06-26,190.0,187.0,187.0,187.0,162.0,30294.0
2011-07-26,187.0,187.0,184.0,187.0,68.0,12572.0
2011-07-28,187.0,184.0,181.0,181.0,80.0,14630.0
2011-08-22,181.0,178.0,178.0,178.0,112.0,19936.0
2011-08-23,178.0,175.0,169.0,169.0,243.0,41625.0
2011-08-24,169.0,166.0,161.0,161.0,253.0,41279.0
2011-08-25,161.0,164.0,158.0,161.0,604.0,96212.0
2011-08-28,161.0,158.0,155.0,155.0,133.0,20714.0
2011-09-04,155.0,158.0,158.0,158.0,90.0,14220.0
2011-09-06,158.0,158.0,155.0,158.0,319.0,49493.0
2011-09-07,158.0,155.0,152.0,152.0,2335.0,355220.0
2011-09-08,152.0,155.0,155.0,155.0,27.0,4185.0
2011-09-12,155.0,158.0,158.0,158.0,27.0,4266.0
2011-09-15,158.0,161.0,161.0,161.0,10.0,1610.0
2011-09-18,161.0,163.0,163.0,163.0,20.0,3260.0
2011-09-19,163.0,160.0,160.0,160.0,22.0,3520.0
2011-09-20,160.0,163.0,163.0,163.0,30.0,4890.0
2011-10-17,163.0,163.0,163.0,163.0,50.0,8150.0
2011-12-12,163.0,163.0,163.0,163.0,43.0,7009.0
2012-01-18,163.0,134.0,134.0,134.0,315.0,42210.0
2012-02-08,134.0,132.0,132.0,132.0,71.0,9372.0
2012-04-19,132.0,134.0,134.0,134.0,50.0,6700.0
2012-04-29,134.0,133.0,132.0,132.0,2151.0,284132.0
2012-04-30,132.0,130.0,130.0,130.0,100.0,13000.0
2012-05-09,130.0,128.0,128.0,128.0,2000.0,256000.0
2012-05-10,128.0,126.0,126.0,126.0,248.0,31248.0
2012-05-13,126.0,124.0,124.0,124.0,100.0,12400.0
2012-05-14,124.0,122.0,122.0,122.0,100.0,12200.0
2012-05-21,122.0,121.0,120.0,121.0,340.0,41000.0
2012-05-27,121.0,119.0,119.0,119.0,1000.0,119000.0
2012-05-30,119.0,117.0,117.0,117.0,18.0,2106.0
2012-05-31,117.0,115.0,115.0,115.0,50.0,5750.0
2012-06-04,115.0,115.0,115.0,115.0,100.0,11500.0
