date,open_price,high_price,low_price,close_price,volume,turnover
16/04/2017,297,326,297,326,"9,361.00","3,049,746.00"
18/04/2017,326,358,332,358,"31,151.00","11,151,161.00"
19/04/2017,358,393,365,393,"10,034.00","3,925,883.00"
23/04/2017,393,432,383,411,"110,978.00","46,161,908.00"
24/04/2017,411,408,385,402,"53,027.00","21,169,186.00"
25/04/2017,402,418,393,408,"39,076.00","15,661,810.00"
26/04/2017,408,448,403,441,"35,032.00","14,772,788.00"
27/04/2017,441,469,425,461,"45,822.00","20,535,200.00"
30/04/2017,461,460,438,445,"52,492.00","23,543,804.00"
02/05/2017,445,455,434,444,"30,617.00","13,560,470.00"
03/05/2017,444,457,436,438,"24,825.00","10,963,261.00"
04/05/2017,438,450,435,447,"51,497.00","22,794,260.00"
07/05/2017,447,450,437,439,"29,759.00","13,140,253.00"
08/05/2017,439,448,432,444,"24,419.00","10,783,817.00"
09/05/2017,444,474,441,467,"48,134.00","22,066,936.00"
11/05/2017,467,503,466,485,"53,131.00","25,937,106.00"
15/05/2017,485,493,475,477,"20,965.00","10,072,120.00"
16/05/2017,477,485,472,480,"12,819.00","6,103,612.00"
17/05/2017,480,484,472,481,"14,404.00","6,902,547.00"
18/05/2017,481,493,473,490,"25,777.00","12,366,722.00"
21/05/2017,490,485,465,484,"11,480.00","5,470,031.00"
22/05/2017,484,479,460,472,"8,730.00","4,112,955.00"
23/05/2017,472,483,465,468,"11,209.00","5,299,349.00"
24/05/2017,468,482,460,470,"9,904.00","4,623,727.00"
28/05/2017,470,475,461,467,"7,736.00","3,594,103.00"
30/05/2017,467,469,450,460,"11,667.00","5,331,994.00"
31/05/2017,460,469,451,460,"8,876.00","4,058,962.00"
01/06/2017,460,462,454,460,"7,009.00","3,210,837.00"
04/06/2017,460,459,444,450,"8,662.00","3,914,707.00"
05/06/2017,450,455,443,450,"5,406.00","2,419,731.00"
06/06/2017,450,463,441,457,"5,992.00","2,719,007.00"
07/06/2017,457,455,446,447,"11,678.00","5,241,935.00"
08/06/2017,447,449,437,448,"9,330.00","4,126,730.00"
11/06/2017,448,445,429,430,"13,870.00","6,019,824.00"
12/06/2017,430,435,416,422,"10,653.00","4,516,731.00"
13/06/2017,422,430,416,422,"7,280.00","3,067,322.00"
14/06/2017,422,430,415,430,"4,893.00","2,054,570.00"
15/06/2017,430,434,417,434,"6,410.00","2,722,549.00"
18/06/2017,434,435,415,418,"2,107.00","885,873.00"
19/06/2017,418,418,405,405,"4,938.00","2,024,152.00"
20/06/2017,405,421,400,412,"4,359.00","1,781,592.00"
21/06/2017,412,416,406,416,"8,927.00","3,674,921.00"
22/06/2017,416,420,415,418,"2,909.00","1,215,742.00"
25/06/2017,418,439,418,438,"5,526.00","2,368,404.00"
27/06/2017,438,439,427,429,"2,938.00","1,261,901.00"
28/06/2017,429,425,417,421,"1,161.00","488,843.00"
02/07/2017,421,420,405,410,"3,952.00","1,623,186.00"
03/07/2017,410,418,405,406,"5,055.00","2,064,916.00"
04/07/2017,406,412,400,409,"1,815.00","739,723.00"
05/07/2017,409,417,405,417,"3,711.00","1,510,056.00"
06/07/2017,417,425,409,425,"1,898.00","789,357.00"
09/07/2017,425,430,408,425,"5,553.00","2,328,785.00"
10/07/2017,425,425,401,415,"32,236.00","13,363,029.00"
11/07/2017,415,417,408,417,"4,924.00","2,026,748.00"
12/07/2017,417,414,410,410,"3,492.00","1,436,443.00"
13/07/2017,410,413,405,409,"2,146.00","877,888.00"
16/07/2017,409,415,401,415,"5,459.00","2,208,990.00"
17/07/2017,415,416,407,412,"7,175.00","2,944,449.00"
18/07/2017,412,441,405,434,"9,889.00","4,189,454.00"
19/07/2017,434,435,417,417,"10,705.00","4,508,979.00"
20/07/2017,417,422,415,417,"5,106.00","2,133,496.00"
23/07/2017,417,425,411,416,"5,856.00","2,430,825.00"
24/07/2017,416,423,411,412,"9,148.00","3,787,907.00"
25/07/2017,412,423,404,411,"3,866.00","1,598,305.00"
26/07/2017,411,416,410,415,"6,045.00","2,497,707.00"
27/07/2017,415,414,409,412,"3,964.00","1,628,987.00"
30/07/2017,412,418,407,407,"11,606.00","4,751,125.00"
31/07/2017,407,423,400,418,"8,062.00","3,311,181.00"
01/08/2017,418,420,404,420,"6,928.00","2,825,951.00"
02/08/2017,420,416,408,411,"4,182.00","1,717,301.00"
03/08/2017,411,418,404,410,"3,902.00","1,598,879.00"
06/08/2017,410,411,402,407,"3,548.00","1,447,024.00"
07/08/2017,407,410,405,406,"3,067.00","1,247,544.00"
09/08/2017,406,405,397,400,"11,476.00","4,595,925.00"
10/08/2017,400,400,392,393,"8,529.00","3,360,936.00"
13/08/2017,393,400,376,381,"5,335.00","2,032,823.00"
15/08/2017,381,387,367,367,"5,051.00","1,879,853.00"
16/08/2017,367,387,370,375,"5,715.00","2,157,848.00"
17/08/2017,375,375,364,368,"13,588.00","5,010,685.00"
20/08/2017,368,370,356,362,"5,245.00","1,903,753.00"
21/08/2017,362,366,350,366,"6,837.00","2,427,379.00"
22/08/2017,366,380,352,360,"2,835.00","1,030,577.00"
23/08/2017,360,362,353,357,"10,457.00","3,735,959.00"
24/08/2017,357,372,351,372,"4,775.00","1,718,654.00"
27/08/2017,372,378,350,378,"9,008.00","3,305,972.00"
28/08/2017,378,391,358,368,"6,756.00","2,544,939.00"
30/08/2017,368,368,360,360,"2,199.00","797,716.00"
31/08/2017,360,358,350,354,"6,893.00","2,436,766.00"
04/09/2017,354,362,345,362,"5,940.00","2,084,406.00"
06/09/2017,362,365,346,350,"5,791.00","2,033,771.00"
07/09/2017,350,352,346,348,"6,831.00","2,380,066.00"
10/09/2017,348,342,330,332,"9,243.00","3,103,428.00"
11/09/2017,332,340,326,335,"2,600.00","860,999.00"
12/09/2017,335,339,326,330,"3,991.00","1,323,102.00"
13/09/2017,330,335,326,330,"2,061.00","680,865.00"
14/09/2017,330,342,324,342,"2,678.00","893,369.00"
17/09/2017,342,350,340,340,"4,138.00","1,423,399.00"
18/09/2017,340,346,334,336,"1,968.00","663,556.00"
20/09/2017,336,336,326,333,"1,664.00","547,030.00"
24/09/2017,333,337,328,335,779,"259,413.00"
25/09/2017,335,343,339,340,"1,680.00","573,374.00"
26/09/2017,340,341,330,340,"3,344.00","1,125,472.00"
04/10/2017,340,346,330,332,"2,804.00","939,867.00"
08/10/2017,332,326,315,317,"1,817.00","575,696.00"
09/10/2017,317,319,315,318,"2,361.00","746,894.00"
10/10/2017,318,323,312,323,"1,247.00","393,387.00"
11/10/2017,323,326,317,325,277,"89,080.00"
12/10/2017,325,324,317,320,"4,026.00","1,292,428.00"
15/10/2017,320,325,315,325,"1,226.00","397,115.00"
16/10/2017,325,336,320,326,389,"127,032.00"
17/10/2017,326,338,321,328,"1,323.00","437,837.00"
18/10/2017,328,329,317,329,215,"69,494.00"
22/10/2017,329,351,335,351,"6,572.00","2,243,730.00"
23/10/2017,351,355,340,342,"2,467.00","852,013.00"
24/10/2017,342,346,340,344,779,"267,000.00"
25/10/2017,344,344,335,338,"2,006.00","684,814.00"
29/10/2017,338,346,333,335,"1,668.00","564,788.00"
30/10/2017,335,335,330,332,"5,677.00","1,883,474.00"
31/10/2017,332,335,327,334,"1,710.00","569,647.00"
01/11/2017,334,338,328,329,"2,946.00","970,535.00"
02/11/2017,329,331,323,327,"1,048.00","341,967.00"
05/11/2017,327,325,321,325,"1,982.00","639,535.00"
06/11/2017,325,331,322,326,"2,142.00","704,307.00"
07/11/2017,326,330,320,330,982,"320,296.00"
08/11/2017,330,330,319,322,"1,927.00","621,058.00"
09/11/2017,322,338,320,326,"3,682.00","1,210,945.00"
12/11/2017,326,330,324,327,"1,146.00","375,325.00"
13/11/2017,327,342,321,342,"2,082.00","686,167.00"
14/11/2017,342,348,334,346,"8,731.00","2,989,240.00"
15/11/2017,346,342,332,337,"2,178.00","734,906.00"
16/11/2017,337,343,327,332,"2,407.00","809,263.00"
19/11/2017,332,340,326,335,"45,210.00","15,145,567.00"
20/11/2017,335,338,330,336,"2,051.00","687,878.00"
21/11/2017,336,351,330,351,"7,667.00","2,608,133.00"
22/11/2017,351,353,334,343,"2,724.00","938,168.00"
23/11/2017,343,353,343,353,"5,691.00","1,978,905.00"
26/11/2017,353,364,347,354,"3,578.00","1,281,211.00"
27/11/2017,354,361,336,351,"4,960.00","1,740,762.00"
28/11/2017,351,358,344,348,695,"244,862.00"
29/11/2017,348,369,353,354,"9,802.00","3,533,726.00"
30/11/2017,354,365,344,365,"5,588.00","2,003,227.00"
04/12/2017,365,372,344,358,"6,724.00","2,410,180.00"
05/12/2017,358,360,351,356,"1,846.00","655,129.00"
06/12/2017,356,372,355,372,"13,162.00","4,832,065.00"
10/12/2017,372,379,365,367,"1,943.00","719,037.00"
11/12/2017,367,374,355,370,"1,935.00","709,695.00"
12/12/2017,370,373,359,362,"2,947.00","1,070,805.00"
13/12/2017,362,367,356,364,"2,390.00","866,173.00"
14/12/2017,364,370,357,360,487,"175,361.00"
17/12/2017,360,360,354,360,"1,060.00","379,264.00"
18/12/2017,360,368,359,360,"4,378.00","1,590,479.00"
19/12/2017,360,360,351,358,"3,355.00","1,199,765.00"
20/12/2017,358,358,351,356,"1,458.00","516,266.00"
