date,open_price,high_price,low_price,close_price,volume,turnover
25/05/2022,104.7,110.9,104.7,110.9,130,"13,825.40"
26/05/2022,113.1,113.1,113.1,113.1,30,"3,412.70"
30/05/2022,115.3,124.4,115.3,124.4,80,"9,668.20"
31/05/2022,126.8,126.8,126.8,126.8,30,"3,780.00"
01/06/2022,124.4,139.4,124.4,139.4,60,"7,963.00"
02/06/2022,136.8,153.3,136.8,153.3,80,"11,688.00"
03/06/2022,156.3,168.6,156.3,168.6,70,"11,323.70"
06/06/2022,171.9,185.4,171.9,185.4,100,"18,207.00"
07/06/2022,189.1,203.9,189.1,203.9,120,"24,102.00"
08/06/2022,207.9,224.2,207.9,224.2,100,"22,012.70"
09/06/2022,228,246.6,228,246.6,150,"36,520.00"
10/06/2022,251.5,271.2,251.5,271.2,400,"107,996.00"
13/06/2022,276.6,298.3,276.6,298.3,"2,160.00","643,794.00"
14/06/2022,304.2,328.1,270,274,"48,906.00","13,854,570.10"
15/06/2022,274,274,246.6,250,"34,219.00","8,570,788.50"
16/06/2022,245,274.3,230,259.9,"10,055.00","2,535,242.00"
17/06/2022,265,275,245.1,265,"8,537.00","2,157,757.30"
19/06/2022,270,270,243,243.3,"8,433.00","2,091,193.00"
20/06/2022,243.3,248.1,226,229.1,"11,693.00","2,706,232.70"
21/06/2022,225,245,225,232.5,"6,532.00","1,525,677.50"
22/06/2022,237.1,237.1,219.5,224.5,"7,003.00","1,569,792.90"
23/06/2022,228.9,228.9,203.5,209,"12,774.00","2,692,192.00"
24/06/2022,205,224.4,201.2,213,"3,625.00","763,717.50"
26/06/2022,217.2,234,217.2,230,"7,365.00","1,661,279.90"
27/06/2022,234.6,244,224,224,"14,086.00","3,263,333.90"
28/06/2022,220,228,220,225,"6,150.00","1,371,064.50"
29/06/2022,220.6,232.5,220.6,228.1,"11,087.00","2,535,899.10"
30/06/2022,232.6,241.8,228.4,239,"10,243.00","2,421,362.80"
01/07/2022,235,245.8,225.7,245,"12,622.00","3,026,795.10"
03/07/2022,249.9,260.1,237,256,"12,589.00","3,133,508.10"
04/07/2022,261,268.1,247.1,247.1,"19,683.00","5,114,300.80"
05/07/2022,242.2,260,237.5,239,"15,683.00","3,845,419.10"
06/07/2022,243.7,248.1,229.4,246,"6,930.00","1,640,367.40"
07/07/2022,250.9,252,240,245,"7,220.00","1,754,439.00"
08/07/2022,241,241,233,233,"4,562.00","1,071,110.60"
11/07/2022,228.4,233,219,219,"7,360.00","1,642,411.00"
12/07/2022,217.7,231.9,216.1,231.5,"3,574.00","794,889.20"
13/07/2022,227,246,225,244.9,"6,517.00","1,524,841.80"
14/07/2022,245,249.7,234.3,244.7,"6,125.00","1,474,809.80"
15/07/2022,239.9,241,231,239.7,"5,220.00","1,224,217.00"
17/07/2022,235,240.7,225.8,236,"3,582.00","841,796.40"
18/07/2022,235,241,231,237,"2,688.00","630,535.10"
19/07/2022,232.5,248.8,232.5,244,"7,432.00","1,808,411.00"
20/07/2022,239.3,253.7,236.6,246,"10,071.00","2,478,576.10"
21/07/2022,241.1,245,236.3,243,"2,985.00","719,224.00"
22/07/2022,238.2,244,233.5,239,"2,640.00","627,557.00"
24/07/2022,243,261.1,231,260,"12,895.00","3,241,188.00"
25/07/2022,260,286,260,286,"36,630.00","10,005,997.80"
26/07/2022,291,306,271.1,295,"21,245.00","6,217,461.60"
27/07/2022,289.1,317.2,280.1,312,"29,128.00","8,757,474.20"
28/07/2022,313,316.4,291.1,300,"33,095.00","10,245,612.20"
29/07/2022,294,307,290.1,295.1,"8,061.00","2,386,713.70"
31/07/2022,289.2,313,289.2,305,"18,976.00","5,597,205.00"
01/08/2022,311,311,295,299,"20,919.00","6,291,685.90"
02/08/2022,293.1,300,289.1,299.8,"15,095.00","4,447,698.50"
03/08/2022,299.8,329.7,299.8,329.7,"39,216.00","12,588,612.20"
04/08/2022,336.2,362.6,336.2,362.6,"49,371.00","17,562,647.60"
05/08/2022,369.8,397,362.6,372,"42,222.00","16,183,457.00"
07/08/2022,365,380,347,367,"38,350.00","13,904,948.30"
08/08/2022,360,373,360,361.2,"31,650.00","11,529,769.00"
09/08/2022,362,368,340,342.1,"18,559.00","6,457,458.70"
10/08/2022,340,350,330.1,340,"13,782.00","4,631,740.20"
11/08/2022,335,346.8,334,334.1,"11,647.00","3,913,598.00"
14/08/2022,327.5,340.7,323.4,330,"8,260.00","2,729,824.60"
15/08/2022,323.4,345.4,317.2,345,"10,960.00","3,693,437.40"
16/08/2022,345,351.7,322.1,330.2,"22,557.00","7,608,711.00"
17/08/2022,325.1,336.8,325.1,334,"13,437.00","4,439,040.80"
18/08/2022,334.6,364,327.2,362,"35,571.00","12,423,302.70"
21/08/2022,354.9,369.2,341.1,349,"22,050.00","7,793,217.60"
22/08/2022,348.9,348.9,337.2,344,"9,742.00","3,328,614.80"
23/08/2022,338.3,344,335,341.9,"7,390.00","2,506,399.60"
24/08/2022,337,348.7,335.1,344,"6,490.00","2,217,895.00"
25/08/2022,350,350,328,338,"10,985.00","3,682,411.00"
26/08/2022,332,335,320,334,"13,639.00","4,456,973.60"
28/08/2022,340.6,347,310,313,"17,163.00","5,415,200.00"
29/08/2022,313,321.3,307,311.5,"8,717.00","2,719,789.00"
30/08/2022,309,331,309,317,"5,877.00","1,891,958.00"
31/08/2022,310.8,325,307.1,307.5,"10,650.00","3,337,552.00"
01/09/2022,303.1,321.4,300.1,318,"11,402.00","3,499,902.20"
02/09/2022,320,324,306.9,310,"2,217.00","696,305.50"
04/09/2022,304,315.9,299.1,315,"15,360.00","4,658,618.70"
05/09/2022,308.8,314,307.1,313,"2,750.00","851,459.00"
06/09/2022,306.9,310.1,299.1,304.9,"11,293.00","3,423,466.30"
07/09/2022,299.1,303,295.3,301,"3,821.00","1,136,118.40"
08/09/2022,305,311,290.1,304,"5,024.00","1,515,249.00"
11/09/2022,298,304,293,297.9,"3,405.00","1,007,260.50"
12/09/2022,293,297,288,290.9,"4,585.00","1,341,252.30"
13/09/2022,296,307.9,285.2,293.9,"7,287.00","2,140,960.00"
14/09/2022,290,310,288.1,310,"12,331.00","3,736,331.90"
15/09/2022,315,315,290.1,299.8,"7,917.00","2,335,310.90"
16/09/2022,293.9,293.9,278.6,293,"4,031.00","1,148,491.20"
18/09/2022,289,289,267,270,"8,055.00","2,226,236.60"
20/09/2022,266,280.8,250.9,262.8,"9,085.00","2,347,833.50"
21/09/2022,268,269.9,255,266.7,"3,810.00","998,057.00"
22/09/2022,270.5,270.5,255,260,"2,164.00","556,852.00"
