date,open_price,high_price,low_price,close_price,volume,turnover
03/08/2017,0,323,294,323,775,"244,637.00"
06/08/2017,323,355,300,316,"10,396.00","3,333,783.00"
07/08/2017,316,312,285,285,"4,374.00","1,288,178.00"
09/08/2017,285,280,257,260,"5,869.00","1,515,113.00"
10/08/2017,260,260,238,260,"2,022.00","506,640.00"
13/08/2017,260,257,239,243,379,"92,619.00"
15/08/2017,243,240,220,221,608,"136,848.00"
16/08/2017,221,227,217,217,528,"117,122.00"
17/08/2017,217,214,209,211,628,"132,194.00"
20/08/2017,211,215,207,210,700,"146,070.00"
21/08/2017,210,218,197,201,"1,788.00","372,928.00"
22/08/2017,201,207,198,200,"6,521.00","1,327,556.00"
23/08/2017,200,199,187,187,"3,955.00","757,350.00"
24/08/2017,187,195,181,195,"4,342.00","834,660.00"
27/08/2017,195,200,193,200,"2,006.00","391,950.00"
28/08/2017,200,201,195,201,280,"55,418.00"
30/08/2017,201,202,197,197,"1,851.00","370,363.00"
31/08/2017,197,196,188,195,487,"94,427.00"
04/09/2017,195,192,186,186,"1,582.00","299,059.00"
06/09/2017,186,190,186,190,370,"69,632.00"
07/09/2017,190,190,183,183,"1,146.00","211,837.00"
10/09/2017,183,183,174,177,968,"172,121.00"
11/09/2017,177,175,166,166,179,"30,998.00"
12/09/2017,166,165,164,164,98,"16,116.00"
13/09/2017,164,163,156,163,184,"29,485.00"
14/09/2017,163,163,160,163,407,"65,918.00"
17/09/2017,163,165,158,159,248,"39,778.00"
18/09/2017,159,165,157,163,603,"97,469.00"
20/09/2017,163,165,161,161,131,"21,205.00"
24/09/2017,161,163,158,163,618,"99,240.00"
25/09/2017,163,169,166,169,80,"13,490.00"
26/09/2017,169,179,169,175,"1,151.00","199,407.00"
03/10/2017,175,175,172,172,150,"26,148.00"
04/10/2017,172,172,172,172,40,"6,880.00"
08/10/2017,172,173,166,173,94,"15,900.00"
09/10/2017,173,170,168,168,172,"29,084.00"
10/10/2017,168,168,163,168,228,"37,866.00"
11/10/2017,168,168,165,168,76,"12,690.00"
12/10/2017,168,174,168,173,92,"15,796.00"
15/10/2017,173,176,171,176,352,"61,108.00"
16/10/2017,176,185,179,185,541,"97,977.00"
17/10/2017,185,196,183,196,"1,005.00","190,129.00"
18/10/2017,196,196,195,196,30,"5,870.00"
22/10/2017,196,199,196,199,56,"11,054.00"
23/10/2017,199,198,192,195,422,"82,204.00"
24/10/2017,195,205,195,205,888,"176,844.00"
25/10/2017,205,213,201,201,"1,238.00","250,886.00"
29/10/2017,201,199,197,199,20,"3,960.00"
30/10/2017,199,197,196,196,88,"17,258.00"
31/10/2017,196,195,190,195,351,"67,361.00"
01/11/2017,195,194,192,194,197,"38,188.00"
02/11/2017,194,194,190,190,258,"49,241.00"
05/11/2017,190,196,187,196,199,"37,756.00"
06/11/2017,196,196,190,194,114,"22,000.00"
07/11/2017,194,191,188,188,20,"3,790.00"
08/11/2017,188,185,182,182,162,"29,616.00"
09/11/2017,182,185,173,185,378,"68,564.00"
12/11/2017,185,182,178,181,142,"25,434.00"
13/11/2017,181,180,179,180,424,"76,266.00"
14/11/2017,180,180,175,180,871,"155,119.00"
15/11/2017,180,181,178,178,225,"40,212.00"
16/11/2017,178,181,175,178,"3,014.00","536,402.00"
19/11/2017,178,175,172,175,"1,655.00","289,259.00"
20/11/2017,175,178,176,176,60,"10,600.00"
21/11/2017,176,177,171,175,514,"89,924.00"
22/11/2017,175,173,167,171,387,"66,229.00"
23/11/2017,171,170,170,170,168,"28,560.00"
26/11/2017,170,180,169,180,82,"14,266.00"
27/11/2017,180,183,179,183,433,"78,206.00"
28/11/2017,183,186,183,186,98,"17,984.00"
29/11/2017,186,188,183,183,671,"124,860.00"
30/11/2017,183,188,180,188,333,"61,395.00"
04/12/2017,188,185,180,181,386,"70,471.00"
05/12/2017,181,186,180,186,365,"66,392.00"
06/12/2017,186,204,186,200,"1,341.00","264,141.00"
10/12/2017,200,199,193,199,512,"100,696.00"
11/12/2017,199,196,191,191,94,"18,024.00"
12/12/2017,191,192,188,189,"1,884.00","358,252.00"
13/12/2017,189,188,185,185,64,"11,900.00"
14/12/2017,185,185,182,184,130,"23,890.00"
17/12/2017,184,184,180,184,118,"21,518.00"
18/12/2017,184,184,183,183,278,"51,040.00"
19/12/2017,183,184,181,183,70,"12,790.00"
20/12/2017,183,182,180,181,122,"22,106.00"
21/12/2017,181,184,178,184,573,"105,080.00"
24/12/2017,184,181,172,172,70,"12,400.00"
26/12/2017,172,175,171,174,201,"34,797.00"
27/12/2017,174,177,172,172,272,"47,064.00"
28/12/2017,172,173,170,171,172,"29,393.00"
