date,open_price,high_price,low_price,close_price,volume,turnover
22/06/2023,350,381.1,350,381.1,"1,694.00","643,813.70"
25/06/2023,388.7,419.2,388.7,419.2,"5,728.00","2,400,285.70"
26/06/2023,420,461.1,420,461.1,"4,364.00","2,009,685.70"
27/06/2023,470.3,507.2,470.3,507.2,"24,091.00","12,154,377.30"
28/06/2023,517,557.9,517,557.9,"1,523,712.00","837,036,791.90"
02/07/2023,569,574,548,549,"762,109.00","425,654,707.90"
03/07/2023,548,549,530,532,"443,519.00","239,445,785.10"
04/07/2023,542.6,542.6,520.4,529,"214,583.00","113,384,502.40"
05/07/2023,535,535,505,508.8,"270,713.00","139,088,920.30"
06/07/2023,515,518,491,497,"308,562.00","153,683,428.20"
09/07/2023,500,512.8,492,498,"371,250.00","186,072,060.00"
10/07/2023,500,510,488.1,489.8,"504,920.00","249,186,992.70"
11/07/2023,495,502,488,490,"258,735.00","127,813,719.40"
12/07/2023,490,503,485.2,496.2,"186,206.00","92,316,248.40"
13/07/2023,500,514,498,507,"318,517.00","161,509,096.80"
16/07/2023,507,514.9,504,507,"308,820.00","156,945,064.50"
17/07/2023,517.1,517.1,502,516,"212,261.00","108,464,899.60"
18/07/2023,516.2,525,513,513.6,"301,695.00","156,390,333.70"
19/07/2023,516,516,508.6,510,"164,408.00","84,204,343.90"
20/07/2023,499.8,515,499.8,504.9,"173,777.00","88,259,472.40"
23/07/2023,507,516,504,510.8,"206,880.00","105,427,189.40"
24/07/2023,508,513,500.1,500.4,"193,182.00","97,571,138.30"
25/07/2023,500.4,504,490.4,491.8,"123,003.00","60,902,374.40"
26/07/2023,498,499,485,487.1,"142,367.00","69,779,438.00"
27/07/2023,490,492,478,478,"173,200.00","83,660,573.60"
30/07/2023,478,485,468,470,"115,672.00","54,666,317.20"
31/07/2023,473.9,481,468.6,474,"96,879.00","46,133,118.50"
01/08/2023,468.8,480,462.1,466,"110,535.00","51,864,632.60"
02/08/2023,466,468.8,458.7,467.4,"88,138.00","40,796,851.40"
03/08/2023,473,474.9,464,468,"72,155.00","33,901,451.20"
06/08/2023,458.7,472.6,451,458,"99,712.00","45,733,060.00"
07/08/2023,458,467,450,454,"68,555.00","31,388,464.10"
08/08/2023,450.2,458,442,445,"61,829.00","27,708,639.90"
09/08/2023,450,465,438.5,463.9,"119,634.00","53,811,034.20"
