date,open_price,high_price,low_price,close_price,volume,turnover
22/05/2019,160,160,144,144,"8,556.00","1,232,994.00"
23/05/2019,145,145,130,130,"3,400.00","443,740.00"
26/05/2019,124,134,117,134,"54,300.00","6,782,720.00"
27/05/2019,132,132,123,131,"8,888.00","1,150,560.00"
28/05/2019,131,133,128,133,"11,700.00","1,528,500.00"
29/05/2019,131,146,131,146,"18,950.00","2,662,110.00"
30/05/2019,148,160,148,160,"16,414.00","2,592,910.00"
02/06/2019,163,168,147,152,"36,836.00","5,634,956.00"
03/06/2019,152,155,144,155,"14,610.00","2,149,070.00"
04/06/2019,156,157,149,149,"6,100.00","921,610.00"
06/06/2019,151,154,148,149,"3,810.00","571,080.00"
10/06/2019,150,154,146,147,"9,085.00","1,346,700.00"
11/06/2019,149,155,147,148,"5,020.00","748,140.00"
12/06/2019,147,155,144,148,"3,430.00","503,860.00"
13/06/2019,146,150,145,146,"4,250.00","624,150.00"
16/06/2019,148,152,145,152,"3,470.00","506,950.00"
17/06/2019,149,152,143,148,"3,990.00","588,050.00"
18/06/2019,146,146,142,146,"1,190.00","172,800.00"
19/06/2019,144,153,144,144,810,"117,650.00"
20/06/2019,146,148,142,146,"1,580.00","228,130.00"
23/06/2019,148,148,143,143,800,"116,040.00"
24/06/2019,141,144,141,142,"1,270.00","181,380.00"
25/06/2019,140,144,140,142,866,"122,912.00"
26/06/2019,140,146,140,146,"1,950.00","279,930.00"
27/06/2019,144,148,143,144,"2,020.00","290,930.00"
30/06/2019,142,145,142,142,"3,730.00","532,020.00"
01/07/2019,141,144,139,141,"6,390.00","896,660.00"
02/07/2019,139,143,139,141,721,"101,717.00"
03/07/2019,139,142,139,140,"1,100.00","154,080.00"
04/07/2019,140,142,139,140,"1,410.00","197,740.00"
07/07/2019,142,142,139,140,"1,340.00","187,260.00"
08/07/2019,142,150,139,140,"1,830.00","258,190.00"
09/07/2019,140,142,139,141,"2,186.00","307,570.00"
10/07/2019,140,142,139,140,"1,615.00","227,690.00"
11/07/2019,140,140,139,139,"1,720.00","239,990.00"
14/07/2019,140,140,138,139,"1,200.00","166,570.00"
15/07/2019,139,141,138,139,"3,030.00","423,440.00"
16/07/2019,139,142,139,139,"1,340.00","188,120.00"
17/07/2019,138,141,138,140,"2,630.00","367,940.00"
18/07/2019,140,143,140,142,680,"95,860.00"
21/07/2019,144,145,144,145,40,"5,780.00"
22/07/2019,143,143,139,143,"1,450.00","203,110.00"
23/07/2019,141,141,138,139,"1,230.00","170,795.00"
24/07/2019,140,142,138,138,"2,060.00","286,530.00"
25/07/2019,138,140,138,138,"1,335.00","184,570.00"
28/07/2019,136,138,131,136,"11,417.00","1,510,502.00"
29/07/2019,138,138,134,134,"3,748.00","511,848.00"
30/07/2019,132,138,132,135,"1,610.00","218,230.00"
31/07/2019,133,138,133,136,990,"134,260.00"
01/08/2019,136,142,136,140,830,"114,910.00"
