date,open_price,high_price,low_price,close_price,volume,turnover
20/03/2011,"1,200.00","1,190.00","1,160.00","1,170.00",853,"1,000,811.00"
24/03/2011,"1,162.00","1,178.00","1,150.00","1,153.00",356,"412,649.00"
25/03/2011,"1,153.00","1,174.00","1,145.00","1,174.00",702,"807,507.00"
27/03/2011,"1,174.00","1,160.00","1,120.00","1,147.00","1,426.00","1,619,270.00"
28/03/2011,"1,147.00","1,150.00","1,110.00","1,132.00",352,"393,534.00"
29/03/2011,"1,132.00","1,120.00","1,050.00","1,097.00","1,456.00","1,576,420.00"
30/03/2011,"1,097.00","1,076.00","1,030.00","1,040.00","1,340.00","1,394,926.00"
31/03/2011,"1,040.00","1,109.00","1,020.00","1,082.00","1,828.00","1,947,570.00"
04/04/2011,"1,082.00","1,099.00","1,064.00","1,099.00","1,151.00","1,235,826.00"
05/04/2011,"1,099.00","1,100.00","1,079.00","1,100.00",115,"124,295.00"
06/04/2011,"1,100.00","1,122.00","1,093.00","1,122.00",248,"273,134.00"
07/04/2011,"1,122.00","1,115.00","1,078.00","1,111.00",640,"698,060.00"
10/04/2011,"1,111.00","1,115.00","1,071.00","1,115.00","1,711.00","1,865,458.00"
11/04/2011,"1,115.00","1,112.00","1,070.00","1,112.00",536,"575,640.00"
13/04/2011,"1,112.00","1,218.00","1,100.00","1,218.00",389,"435,768.00"
17/04/2011,"1,218.00","1,194.00","1,098.00","1,098.00",481,"539,528.00"
18/04/2011,"1,098.00","1,086.00","1,055.00","1,086.00",760,"808,830.00"
19/04/2011,"1,086.00","1,066.00","1,057.00","1,066.00","1,303.00","1,384,936.00"
20/04/2011,"1,066.00","1,075.00","1,060.00","1,063.00","1,240.00","1,319,397.00"
21/04/2011,"1,063.00","1,075.00","1,062.00","1,075.00",451,"480,915.00"
25/04/2011,"1,075.00","1,078.00","1,045.00","1,078.00",381,"401,951.00"
27/04/2011,"1,078.00","1,081.00","1,055.00","1,081.00",751,"796,565.00"
28/04/2011,"1,081.00","1,062.00","1,046.00","1,046.00","1,023.00","1,076,480.00"
02/05/2011,"1,046.00","1,055.00","1,040.00","1,040.00",754,"785,510.00"
03/05/2011,"1,040.00","1,045.00","1,010.00","1,045.00",783,"797,350.00"
04/05/2011,"1,045.00","1,039.00","1,010.00","1,019.00",596,"605,805.00"
05/05/2011,"1,019.00","1,039.00","1,030.00","1,030.00",126,"130,014.00"
08/05/2011,"1,030.00","1,040.00","1,030.00","1,040.00",445,"460,725.00"
09/05/2011,"1,040.00","1,045.00","1,040.00","1,040.00",172,"179,240.00"
10/05/2011,"1,040.00","1,051.00","1,040.00","1,050.00","1,060.00","1,106,006.00"
11/05/2011,"1,050.00","1,070.00","1,050.00","1,070.00",804,"849,824.00"
12/05/2011,"1,070.00","1,096.00","1,070.00","1,091.00",919,"990,544.00"
15/05/2011,"1,091.00","1,155.00","1,112.00","1,155.00",38,"43,057.00"
16/05/2011,"1,155.00","1,193.00","1,160.00","1,193.00",156,"183,026.00"
18/05/2011,"1,193.00","1,172.00","1,150.00","1,172.00",939,"1,087,972.00"
19/05/2011,"1,172.00","1,194.00","1,155.00","1,194.00",490,"573,992.00"
22/05/2011,"1,194.00","1,193.00","1,178.00","1,178.00",115,"135,930.00"
23/05/2011,"1,178.00","1,189.00","1,165.00","1,170.00",239,"279,927.00"
24/05/2011,"1,170.00","1,160.00","1,150.00","1,150.00",282,"325,456.00"
25/05/2011,"1,150.00","1,159.00","1,100.00","1,150.00",597,"664,216.00"
26/05/2011,"1,150.00","1,149.00","1,127.00","1,149.00",127,"143,553.00"
30/05/2011,"1,149.00","1,151.00","1,140.00","1,150.00",320,"366,010.00"
31/05/2011,"1,150.00","1,140.00","1,080.00","1,100.00",873,"967,825.00"
01/06/2011,"1,100.00","1,122.00","1,060.00","1,080.00",338,"364,480.00"
02/06/2011,"1,080.00","1,101.00","1,040.00","1,056.00","1,912.00","2,011,952.00"
05/06/2011,"1,056.00","1,060.00","1,030.00","1,060.00",665,"691,620.00"
06/06/2011,"1,060.00","1,060.00","1,020.00","1,055.00","1,052.00","1,104,070.00"
07/06/2011,"1,055.00","1,045.00","1,000.00","1,045.00",236,"240,327.00"
08/06/2011,"1,045.00","1,025.00",985,"1,020.00","1,212.00","1,209,779.00"
09/06/2011,"1,020.00","1,025.00",966,"1,023.00",338,"333,519.00"
12/06/2011,"1,023.00","1,003.00",932,965,632,"601,240.00"
13/06/2011,965,955,903,933,"2,673.00","2,453,922.00"
14/06/2011,933,915,855,868,"1,716.00","1,520,501.00"
15/06/2011,868,860,790,817,"1,931.00","1,582,441.00"
16/06/2011,817,898,803,898,"1,980.00","1,626,616.00"
19/06/2011,898,987,915,987,"1,362.00","1,334,036.00"
20/06/2011,898,987,915,987,"1,362.00","1,334,036.00"
21/06/2011,"1,085.00","1,193.00","1,106.00","1,193.00","3,475.00","4,021,756.00"
23/06/2011,"1,193.00","1,312.00","1,216.00","1,310.00","3,749.00","4,805,062.00"
26/06/2011,"1,310.00","1,375.00","1,179.00","1,228.00","3,966.00","5,020,720.00"
27/06/2011,"1,228.00","1,219.00","1,106.00","1,106.00",552,"629,914.00"
29/06/2011,"1,106.00","1,140.00","1,024.00","1,123.00","1,583.00","1,730,151.00"
30/06/2011,"1,123.00","1,140.00","1,060.00","1,140.00","1,898.00","2,042,371.00"
03/07/2011,"1,140.00","1,118.00","1,059.00","1,065.00",863,"929,659.00"
04/07/2011,"1,065.00","1,086.00","1,030.00","1,086.00","3,785.00","3,945,917.00"
05/07/2011,"1,086.00","1,140.00","1,086.00","1,140.00","1,168.00","1,284,613.00"
06/07/2011,"1,140.00","1,162.00","1,100.00","1,100.00","1,170.00","1,321,084.00"
07/07/2011,"1,100.00","1,125.00","1,098.00","1,120.00",344,"383,354.00"
