date,open_price,high_price,low_price,close_price,volume,turnover
24/03/2011,195,195,195,195,47,"9,165.00"
05/05/2011,195,198,198,198,56,"11,088.00"
08/05/2011,198,195,192,192,49,"9,525.00"
31/05/2011,192,190,190,190,53,"10,070.00"
26/06/2011,190,187,187,187,162,"30,294.00"
26/07/2011,187,187,184,187,68,"12,572.00"
28/07/2011,187,184,181,181,80,"14,630.00"
22/08/2011,181,178,178,178,112,"19,936.00"
23/08/2011,178,175,169,169,243,"41,625.00"
24/08/2011,169,166,161,161,253,"41,279.00"
25/08/2011,161,164,158,161,604,"96,212.00"
28/08/2011,161,158,155,155,133,"20,714.00"
04/09/2011,155,158,158,158,90,"14,220.00"
06/09/2011,158,158,155,158,319,"49,493.00"
07/09/2011,158,155,152,152,"2,335.00","355,220.00"
08/09/2011,152,155,155,155,27,"4,185.00"
12/09/2011,155,158,158,158,27,"4,266.00"
15/09/2011,158,161,161,161,10,"1,610.00"
18/09/2011,161,163,163,163,20,"3,260.00"
19/09/2011,163,160,160,160,22,"3,520.00"
20/09/2011,160,163,163,163,30,"4,890.00"
17/10/2011,163,163,163,163,50,"8,150.00"
12/12/2011,163,163,163,163,43,"7,009.00"
18/01/2012,163,134,134,134,315,"42,210.00"
08/02/2012,134,132,132,132,71,"9,372.00"
19/04/2012,132,134,134,134,50,"6,700.00"
29/04/2012,134,133,132,132,"2,151.00","284,132.00"
30/04/2012,132,130,130,130,100,"13,000.00"
09/05/2012,130,128,128,128,"2,000.00","256,000.00"
10/05/2012,128,126,126,126,248,"31,248.00"
13/05/2012,126,124,124,124,100,"12,400.00"
14/05/2012,124,122,122,122,100,"12,200.00"
21/05/2012,122,121,120,121,340,"41,000.00"
27/05/2012,121,119,119,119,"1,000.00","119,000.00"
30/05/2012,119,117,117,117,18,"2,106.00"
31/05/2012,117,115,115,115,50,"5,750.00"
04/06/2012,115,115,115,115,100,"11,500.00"
06/06/2012,115,117,117,117,10,"1,170.00"
07/06/2012,117,119,119,119,10,"1,190.00"
10/06/2012,119,119,117,119,30,"3,530.00"
01/07/2012,119,117,117,117,50,"5,850.00"
12/07/2012,117,115,115,115,593,"68,195.00"
26/07/2012,115,113,113,113,123,"13,899.00"
30/07/2012,113,111,107,107,148,"16,008.00"
01/08/2012,107,105,103,103,70,"7,250.00"
06/08/2012,103,101,100,100,400,"40,100.00"
12/08/2012,100,98,98,98,230,"22,540.00"
13/08/2012,98,97,96,96,500,"48,200.00"
14/08/2012,96,97,96,97,358,"34,516.00"
22/08/2012,97,96,95,95,937,"89,507.00"
29/08/2012,95,94,94,94,50,"4,700.00"
30/08/2012,94,93,89,89,"1,179.00","106,321.00"
05/09/2012,89,88,88,88,58,"5,104.00"
06/09/2012,88,89,89,89,100,"8,900.00"
17/09/2012,89,88,88,88,100,"8,800.00"
18/09/2012,88,90,89,90,357,"31,873.00"
19/09/2012,90,91,91,91,12,"1,092.00"
20/09/2012,91,92,91,92,40,"3,660.00"
30/09/2012,92,92,92,92,200,"18,400.00"
01/10/2012,92,91,91,91,68,"6,188.00"
01/10/2012,92,91,91,91,68,"6,188.00"
02/10/2012,91,90,90,90,111,"9,990.00"
03/10/2012,90,89,89,89,171,"15,219.00"
07/10/2012,89,90,90,90,200,"18,000.00"
09/12/2012,90,89,88,88,260,"23,010.00"
09/04/2013,88,90,89,90,"1,125.00","101,000.00"
30/06/2013,90,90,90,90,111,"9,990.00"
31/12/2013,90,91,91,91,"1,114.00","101,374.00"
01/01/2014,91,90,90,90,148,"13,320.00"
06/03/2014,90,89,89,89,91,"8,099.00"
09/06/2014,89,90,90,90,"11,641.00","1,047,690.00"
17/07/2014,90,99,91,99,"1,160.00","106,280.00"
20/07/2014,99,100,100,100,10,"1,000.00"
21/07/2014,100,110,102,110,"2,043.00","212,786.00"
22/07/2014,110,121,112,121,"1,188.00","143,360.00"
23/07/2014,121,133,123,133,"12,048.00","1,602,084.00"
24/07/2014,133,146,135,146,"10,860.00","1,584,200.00"
27/07/2014,146,160,148,160,"6,232.00","996,300.00"
28/07/2014,160,175,163,175,763,"128,527.00"
30/07/2014,175,188,172,172,"8,803.00","1,596,910.00"
03/08/2014,172,169,169,169,50,"8,450.00"
05/08/2014,169,166,163,163,261,"42,855.00"
13/08/2014,163,160,157,157,684,"108,888.00"
18/08/2014,157,154,151,154,616,"93,964.00"
19/08/2014,154,151,148,148,469,"69,676.00"
20/08/2014,148,146,134,134,850,"119,074.00"
21/08/2014,134,132,130,130,109,"14,280.00"
11/09/2014,130,128,126,126,991,"124,910.00"
24/09/2014,126,124,124,124,567,"70,308.00"
17/12/2019,124,136,122,136,865,"114,460.00"
18/12/2019,138,149,138,149,"5,155.00","761,565.00"
19/12/2019,151,163,151,163,"2,934.00","465,500.00"
22/12/2019,166,179,147,147,"13,863.00","2,278,367.00"
23/12/2019,145,154,141,151,"5,539.00","819,331.00"
25/12/2019,148,148,136,136,"1,210.00","165,900.00"
26/12/2019,135,135,123,132,"3,835.00","492,254.00"
29/12/2019,134,140,134,140,455,"62,110.00"
31/12/2019,142,144,130,144,"5,397.00","751,964.00"
01/01/2020,146,146,140,140,"1,060.00","150,640.00"
02/01/2020,142,144,142,142,"1,510.00","214,440.00"
05/01/2020,140,140,130,134,815,"107,250.00"
06/01/2020,132,135,128,135,"2,220.00","290,480.00"
07/01/2020,133,133,130,130,"1,005.00","131,690.00"
08/01/2020,129,129,128,128,510,"65,580.00"
09/01/2020,128,128,126,126,940,"119,040.00"
12/01/2020,125,130,124,128,"1,398.00","175,868.00"
13/01/2020,128,128,124,124,"2,930.00","364,680.00"
14/01/2020,125,136,125,133,"1,875.00","239,952.00"
15/01/2020,135,135,134,134,564,"76,090.00"
16/01/2020,136,142,136,141,740,"104,010.00"
19/01/2020,143,145,141,141,170,"24,410.00"
20/01/2020,143,143,143,143,135,"19,305.00"
21/01/2020,143,143,143,143,50,"7,150.00"
26/01/2020,145,145,143,143,"3,510.00","501,950.00"
27/01/2020,145,147,145,147,20,"2,920.00"
28/01/2020,154,154,149,149,20,"3,030.00"
29/01/2020,156,156,153,153,110,"16,860.00"
30/01/2020,153,153,150,150,"1,500.00","228,000.00"
04/02/2020,157,157,157,157,10,"1,570.00"
06/02/2020,154,154,142,142,"2,400.00","341,260.00"
09/02/2020,140,140,129,134,"3,077.00","404,011.00"
10/02/2020,134,135,134,135,990,"133,150.00"
11/02/2020,133,135,129,135,"1,585.00","209,505.00"
12/02/2020,133,134,131,131,960,"126,860.00"
13/02/2020,132,137,132,137,"2,434.00","322,647.00"
16/02/2020,136,136,135,135,330,"44,630.00"
17/02/2020,137,139,137,137,220,"30,160.00"
18/02/2020,135,135,132,132,"1,026.00","136,772.00"
19/02/2020,132,132,131,132,830,"109,380.00"
20/02/2020,134,138,134,136,670,"91,026.00"
23/02/2020,136,136,136,136,130,"17,680.00"
24/02/2020,136,136,132,132,"1,200.00","161,400.00"
25/02/2020,133,141,133,138,"10,925.00","1,488,674.00"
26/02/2020,140,151,140,150,"6,537.00","973,913.00"
27/02/2020,153,163,153,162,"6,148.00","988,416.00"
01/03/2020,162,162,155,155,592,"93,580.00"
02/03/2020,158,158,149,149,"2,134.00","321,792.00"
03/03/2020,148,154,146,154,"2,344.00","346,767.00"
05/03/2020,151,151,151,151,500,"75,500.00"
11/03/2020,148,148,140,140,652,"92,440.00"
12/03/2020,141,141,130,130,"1,105.00","147,020.00"
15/03/2020,128,128,124,126,"1,300.00","163,900.00"
16/03/2020,128,128,126,127,993,"126,784.00"
17/03/2020,125,125,123,123,125,"15,395.00"
18/03/2020,121,121,119,121,"3,140.00","374,740.00"
19/03/2020,119,121,119,119,420,"50,180.00"
06/07/2020,121,127,121,127,260,"32,360.00"
07/07/2020,129,135,129,135,"1,940.00","254,180.00"
08/07/2020,135,139,135,139,120,"16,620.00"
09/07/2020,141,141,141,141,10,"1,410.00"
12/07/2020,139,139,137,137,120,"16,660.00"
13/07/2020,135,135,134,134,697,"93,995.00"
14/07/2020,136,136,130,130,595,"77,920.00"
