date,open_price,high_price,low_price,close_price,volume,turnover
25/03/2011,721,725,725,725,13,"9,425.00"
29/03/2011,725,725,725,725,60,"43,500.00"
31/03/2011,725,715,715,715,20,"14,300.00"
18/04/2011,715,701,701,701,450,"315,450.00"
27/04/2011,701,701,701,701,30,"21,030.00"
02/05/2011,701,687,648,648,"3,083.00","2,024,499.00"
03/05/2011,648,648,648,648,30,"19,440.00"
05/05/2011,648,660,660,660,100,"66,000.00"
12/05/2011,660,647,640,640,130,"83,900.00"
15/05/2011,640,660,647,647,235,"154,290.00"
19/05/2011,647,635,635,635,15,"9,525.00"
24/05/2011,635,630,630,630,30,"18,900.00"
30/05/2011,630,618,606,606,88,"53,688.00"
13/06/2011,606,594,594,594,100,"59,400.00"
14/06/2011,594,583,572,572,60,"34,716.00"
15/06/2011,572,561,561,561,24,"13,464.00"
16/06/2011,561,561,558,558,930,"521,685.00"
23/06/2011,590,647,601,647,109,"68,741.00"
26/06/2011,647,659,659,659,59,"38,881.00"
29/06/2011,659,672,659,659,220,"145,240.00"
30/06/2011,659,646,640,640,250,"160,600.00"
03/07/2011,640,628,616,616,290,"179,960.00"
04/07/2011,616,605,605,605,143,"86,515.00"
06/07/2011,605,600,600,600,20,"12,000.00"
12/07/2011,600,599,577,599,95,"55,860.00"
13/07/2011,599,588,577,577,30,"17,475.00"
14/07/2011,577,566,566,566,30,"16,980.00"
18/07/2011,566,577,577,577,17,"9,809.00"
20/07/2011,577,600,588,600,641,"377,952.00"
21/07/2011,600,600,590,591,125,"74,295.00"
24/07/2011,591,585,585,585,23,"13,455.00"
25/07/2011,585,577,575,577,55,"31,675.00"
31/07/2011,577,577,577,577,453,"261,381.00"
02/08/2011,577,610,588,610,62,"37,116.00"
03/08/2011,610,601,601,601,125,"75,125.00"
08/08/2011,601,600,600,600,156,"93,600.00"
09/08/2011,600,600,595,600,306,"182,250.00"
16/08/2011,600,610,610,610,345,"210,450.00"
17/08/2011,610,610,610,610,30,"18,300.00"
23/08/2011,610,601,598,601,120,"71,865.00"
24/08/2011,601,600,600,600,100,"60,000.00"
28/08/2011,600,590,580,580,75,"43,650.00"
29/08/2011,580,570,570,570,"2,655.00","1,513,350.00"
30/08/2011,570,559,559,559,12,"6,708.00"
01/09/2011,559,570,559,570,375,"213,585.00"
04/09/2011,570,570,570,570,30,"17,100.00"
06/09/2011,570,560,560,560,27,"15,120.00"
07/09/2011,560,550,550,550,60,"33,000.00"
13/09/2011,550,550,539,539,147,"79,395.00"
18/09/2011,539,529,529,529,45,"23,805.00"
19/09/2011,529,525,525,525,15,"7,875.00"
25/09/2011,525,545,535,545,40,"21,600.00"
26/09/2011,545,535,535,535,42,"22,470.00"
29/09/2011,535,545,545,545,15,"8,175.00"
09/10/2011,545,545,545,545,12,"6,540.00"
10/10/2011,545,545,545,545,15,"8,175.00"
24/10/2011,545,555,555,555,30,"16,650.00"
02/11/2011,555,565,565,565,20,"11,300.00"
03/11/2011,565,595,576,595,50,"29,400.00"
06/11/2011,595,606,596,606,34,"20,364.00"
08/11/2011,606,615,610,615,225,"137,450.00"
09/11/2011,615,615,603,615,133,"81,555.00"
10/11/2011,615,664,620,660,635,"416,410.00"
