date,open_price,high_price,low_price,close_price,volume,turnover
29/11/2021,282.3,310.5,282.3,310.5,194,"57,717.70"
30/11/2021,316.7,341.5,316.7,341.5,171,"57,762.70"
01/12/2021,348.3,375.6,348.3,375.6,150,"55,348.00"
02/12/2021,383.1,413.1,383.1,413.1,390,"159,850.00"
05/12/2021,421.3,454.4,421.3,454.4,"1,533.00","695,114.20"
06/12/2021,463.4,499.8,409,433,"81,212.00","35,157,169.30"
07/12/2021,441,459,414,416,"30,287.00","13,054,412.00"
08/12/2021,408,410,400,408,"10,795.00","4,365,534.00"
09/12/2021,399.9,404,385,393,"12,424.00","4,881,113.00"
12/12/2021,387,391.6,364,365,"17,386.00","6,665,237.80"
13/12/2021,358,386,332,347,"10,591.00","3,666,838.10"
14/12/2021,350,381.7,350,381.7,"4,849.00","1,786,201.50"
15/12/2021,389.3,412,363,372,"17,495.00","6,820,720.50"
16/12/2021,365,385.5,360,363,"5,854.00","2,139,034.10"
20/12/2021,362,362,343,347,"4,850.00","1,693,137.50"
21/12/2021,349,356.9,344,356.9,"5,216.00","1,819,310.00"
22/12/2021,357,378,357,378,"7,385.00","2,739,578.50"
23/12/2021,378.1,380,365.1,371,"8,049.00","2,996,923.70"
26/12/2021,370.1,377,362.6,375,"8,054.00","2,981,678.10"
27/12/2021,375,375,358,360,"11,881.00","4,337,568.60"
28/12/2021,355,362.4,351,358,"4,065.00","1,445,544.00"
29/12/2021,351.2,372,351.2,364,"4,050.00","1,453,923.00"
02/01/2022,356.8,386.1,353,383,"11,390.00","4,225,588.00"
03/01/2022,375.4,390,362,379,"13,813.00","5,284,335.00"
04/01/2022,371.5,388,367.1,384,"7,729.00","2,930,709.50"
05/01/2022,384,397.8,371,382,"14,924.00","5,784,544.60"
06/01/2022,375,393,369.1,393,"11,525.00","4,478,146.20"
09/01/2022,390.1,432.3,390.1,430,"24,892.00","10,257,910.60"
10/01/2022,430,439.9,420,439,"20,907.00","8,944,679.00"
11/01/2022,431,482,431,482,"31,728.00","14,442,356.70"
12/01/2022,482,486,460,482,"25,627.00","12,149,344.50"
13/01/2022,472.4,485,463,481,"20,163.00","9,595,904.30"
16/01/2022,480,489.6,469,470.1,"32,274.00","15,373,548.60"
17/01/2022,463,492,460,492,"28,599.00","13,648,695.90"
18/01/2022,492,505,490,499,"30,733.00","15,266,600.00"
19/01/2022,499,499,481,484.1,"13,433.00","6,529,765.10"
20/01/2022,475,529,474.6,527,"34,689.00","17,495,226.50"
23/01/2022,530,545,510,517,"31,446.00","16,434,622.20"
24/01/2022,517,520,480,492,"37,075.00","18,122,049.10"
25/01/2022,486,503,472,485.1,"18,223.00","8,991,627.20"
26/01/2022,477,485,463,473,"11,451.00","5,413,079.90"
27/01/2022,473,481,465,475,"9,620.00","4,552,178.80"
30/01/2022,484.5,510,484.5,505,"25,004.00","12,395,030.30"
31/01/2022,505,505,488,489,"9,895.00","4,891,869.50"
01/02/2022,495,524,481,509,"21,831.00","10,987,045.00"
03/02/2022,509,530.2,503,530,"56,373.00","29,323,342.00"
06/02/2022,527,527,503,515,"34,028.00","17,348,044.00"
07/02/2022,504.8,515,499.1,509,"11,704.00","5,959,093.00"
08/02/2022,509,529.2,495.1,498,"18,203.00","9,254,004.00"
09/02/2022,490,500,480.2,489.9,"13,550.00","6,609,771.00"
10/02/2022,480.2,499.8,475,478,"13,357.00","6,438,595.20"
13/02/2022,468.5,469,448,451,"21,099.00","9,566,710.20"
14/02/2022,451,459,444,445,"7,201.00","3,241,223.00"
15/02/2022,445,489.5,437,489.5,"11,328.00","5,316,850.00"
16/02/2022,490,490,457.7,475,"17,166.00","8,091,256.50"
17/02/2022,465.5,483,460,483,"7,677.00","3,643,993.20"
20/02/2022,473.4,507,464,491.6,"30,263.00","14,808,496.40"
21/02/2022,482,516,482,511,"28,319.00","14,233,938.00"
22/02/2022,520,555,512,535,"68,842.00","36,891,538.00"
23/02/2022,545.7,566,530,550,"44,722.00","24,521,558.50"
24/02/2022,550,550.8,518,520,"37,596.00","19,839,208.70"
27/02/2022,520,535,510,525,"30,184.00","15,864,900.00"
28/02/2022,535,545,490,490,"25,258.00","12,905,808.40"
02/03/2022,481,490,472.6,475,"11,964.00","5,720,681.40"
06/03/2022,484.5,488,470,488,"16,335.00","7,788,239.00"
07/03/2022,497.5,497.5,478.3,486,"8,970.00","4,355,912.50"
09/03/2022,494.7,494.7,464,470,"10,317.00","4,842,919.20"
10/03/2022,470,517,447,503,"16,084.00","7,795,460.60"
13/03/2022,513,517,491.1,505,"27,030.00","13,561,290.20"
14/03/2022,495,504.9,486.1,490.4,"6,148.00","3,048,396.50"
15/03/2022,483.2,499.7,467,476,"19,314.00","9,256,266.00"
16/03/2022,485.5,489.2,470.5,483.5,"8,788.00","4,211,278.90"
20/03/2022,475,493.1,475,484,"6,100.00","2,919,718.10"
21/03/2022,490,496,475.1,489,"9,304.00","4,522,389.20"
22/03/2022,498.6,498.6,478,484,"7,378.00","3,577,886.70"
23/03/2022,483,483,470,471,"12,633.00","5,978,453.60"
24/03/2022,471,475,467,469,"7,182.00","3,370,278.00"
27/03/2022,459.7,470,447,453,"13,798.00","6,270,172.10"
28/03/2022,460,469.1,442,444,"5,974.00","2,678,260.20"
29/03/2022,436,459,436,449.7,"9,089.00","4,031,648.60"
30/03/2022,440.8,464.2,440.8,463,"7,335.00","3,318,402.00"
31/03/2022,458,470,451.1,451.1,"8,375.00","3,847,562.40"
03/04/2022,442.2,454.9,442,454.9,"4,216.00","1,879,252.00"
04/04/2022,445.9,450,439,450,"4,533.00","2,016,615.60"
05/04/2022,441,441,425,438,"10,520.00","4,555,948.70"
06/04/2022,429.3,441,419.9,436,"6,185.00","2,640,722.00"
07/04/2022,444,444,425,429.1,"10,979.00","4,747,367.00"
11/04/2022,435,443.7,421.5,427,"11,615.00","4,996,935.20"
12/04/2022,420,422,397.1,401.1,"9,734.00","3,942,640.00"
13/04/2022,394,411.9,394,410,"5,670.00","2,303,697.30"
17/04/2022,410,417,397,400,"4,681.00","1,882,193.00"
18/04/2022,392,400,381,381,"4,772.00","1,864,591.70"
19/04/2022,380,390,361.2,387,"7,350.00","2,769,282.40"
20/04/2022,382,401,368,375,"5,304.00","2,024,717.50"
21/04/2022,370,399.8,360,390,"5,538.00","2,035,572.20"
24/04/2022,395,419.8,374.6,419.8,"12,837.00","5,198,653.50"
25/04/2022,412,424.3,398,400,"11,852.00","4,846,413.20"
26/04/2022,392.1,408,390.3,396,"5,881.00","2,353,913.00"
27/04/2022,389,403.9,386.1,395,"3,525.00","1,394,515.10"
28/04/2022,387.1,402.9,387.1,393.3,"8,301.00","3,266,910.80"
02/05/2022,386,393,374.1,375,"5,895.00","2,232,464.20"
04/05/2022,368,380,361,363,"4,666.00","1,705,218.60"
05/05/2022,363,363,344.2,353,"7,144.00","2,503,240.00"
08/05/2022,348,360,336,354.4,"7,743.00","2,644,723.00"
09/05/2022,349,362,349,351,"4,450.00","1,587,069.50"
10/05/2022,346,367.2,346,366,"5,366.00","1,929,272.80"
11/05/2022,373.1,388,360,384,"11,876.00","4,494,749.50"
12/05/2022,391.6,401.8,377,389.7,"15,321.00","6,019,153.40"
17/05/2022,382,382,365.6,369,"5,725.00","2,119,910.60"
18/05/2022,370,384,351.3,380,"4,429.00","1,613,196.20"
19/05/2022,372.5,381,366.1,366.1,"3,372.00","1,256,599.90"
20/05/2022,358.8,373.4,352.3,361.5,"2,658.00","959,498.80"
23/05/2022,354.3,360,341.4,353,"4,555.00","1,587,306.90"
24/05/2022,353,367.2,347.1,349,"6,181.00","2,203,206.50"
25/05/2022,343,362.1,343,355,"1,894.00","677,344.70"
26/05/2022,360,370,355.1,360,"3,079.00","1,106,427.90"
27/05/2022,360,360,348,360,"2,946.00","1,036,422.60"
30/05/2022,357,357,343,346,"4,890.00","1,685,835.00"
31/05/2022,340,347.8,336,336.2,"2,850.00","966,297.20"
01/06/2022,330,341,330,332,"5,330.00","1,774,988.50"
02/06/2022,335,340,330,330,"1,522.00","506,785.00"
03/06/2022,325.5,331,321,323,"3,295.00","1,068,763.20"
06/06/2022,317,331.5,315.1,325,"2,100.00","672,187.00"
07/06/2022,318.8,322,313.7,314,"2,213.00","702,437.60"
08/06/2022,311,332.4,311,323.1,"2,595.00","843,550.50"
09/06/2022,323.1,340,317,318,"3,320.00","1,079,079.00"
10/06/2022,324.3,324.3,313.2,317,927,"293,527.00"
13/06/2022,310.8,321.4,310.8,315,"1,581.00","500,281.00"
14/06/2022,311,316,308.8,309,"3,340.00","1,038,257.50"
15/06/2022,303,303,291.1,300,"2,194.00","654,554.40"
16/06/2022,294,317,294,300,"1,385.00","416,373.20"
17/06/2022,294,306,290,298,400,"118,753.00"
19/06/2022,292.2,303.8,284,284,"3,548.00","1,026,671.50"
20/06/2022,279,279,261.5,268,"5,226.00","1,390,055.30"
21/06/2022,262.7,277,258,275,"5,135.00","1,379,956.50"
22/06/2022,269.5,269.5,262.1,263,"1,280.00","337,323.00"
23/06/2022,263,263,248.1,248.1,"3,047.00","774,008.00"
24/06/2022,243.2,272.9,241,272.9,"10,912.00","2,858,011.00"
26/06/2022,272.9,300.1,272.9,300.1,"11,744.00","3,492,606.00"
27/06/2022,306.1,330.1,306.1,330,"26,797.00","8,723,174.60"
28/06/2022,336.6,336.6,304.1,316,"12,949.00","4,133,711.80"
29/06/2022,316,325,311.2,323,"3,856.00","1,228,137.40"
30/06/2022,328,355.3,319,355.3,"9,146.00","3,077,430.00"
01/07/2022,355.3,370,350,355,"5,171.00","1,844,828.40"
03/07/2022,355,368,341,355,"12,438.00","4,457,124.00"
04/07/2022,355,369.3,348,349,"14,845.00","5,303,588.50"
05/07/2022,342.1,350,325.4,330,"9,287.00","3,120,877.60"
06/07/2022,336,337,315,335,"7,078.00","2,300,753.60"
07/07/2022,335,336,322,325,"6,975.00","2,282,461.10"
08/07/2022,323,328,319.1,321,"2,335.00","753,957.00"
11/07/2022,314.6,314.6,300,301.1,"7,583.00","2,295,037.30"
12/07/2022,300,323.3,289.2,301,"4,050.00","1,222,052.50"
13/07/2022,298,325,298,325,"2,842.00","891,985.70"
14/07/2022,328,334,309.2,323,"4,405.00","1,414,488.00"
15/07/2022,316.6,321,315,316,"2,255.00","716,119.40"
17/07/2022,316,322,312,315,"2,144.00","677,941.50"
18/07/2022,310,320,310,319,"1,777.00","562,100.00"
19/07/2022,325.3,328,315,320,"3,899.00","1,252,511.00"
20/07/2022,326,326,315.1,320,"2,931.00","929,069.50"
21/07/2022,314,321.3,311.1,320,"2,000.00","635,631.00"
22/07/2022,320,320,309,312.3,"2,288.00","714,988.00"
24/07/2022,318.4,320,310,320,"4,296.00","1,353,665.40"
25/07/2022,326,342,320.2,334,"8,907.00","2,990,132.70"
26/07/2022,328,345,321.5,326.1,"5,942.00","1,970,571.50"
27/07/2022,320,340,314,338,"6,115.00","2,023,618.70"
28/07/2022,344,365,340.1,340.1,"21,062.00","7,407,620.50"
29/07/2022,340,353.7,336,348,"6,063.00","2,076,116.00"
31/07/2022,348,354,345,346,"6,360.00","2,213,103.00"
01/08/2022,346,355.9,339.1,344,"17,346.00","6,064,173.20"
02/08/2022,346,350.8,339.2,344,"8,740.00","3,013,670.60"
03/08/2022,350,367.2,346,366,"17,995.00","6,477,752.00"
04/08/2022,373.3,387,370,375,"46,516.00","17,605,440.20"
05/08/2022,367.6,373,367.6,369,"15,312.00","5,666,986.70"
07/08/2022,375,382.5,367,381,"10,575.00","3,937,260.10"
08/08/2022,387,400,378,379.5,"16,549.00","6,385,106.90"
09/08/2022,372,375,355.2,355.2,"15,007.00","5,448,741.40"
10/08/2022,350,356,344,345.4,"10,644.00","3,713,635.90"
11/08/2022,339,362.1,338.3,340,"4,503.00","1,571,078.80"
14/08/2022,333.2,347,327,327,"3,790.00","1,262,951.60"
15/08/2022,320.5,351,320,350,"2,595.00","883,612.50"
16/08/2022,343.1,357,336.2,338,"8,183.00","2,781,335.40"
17/08/2022,332.1,353,332.1,340,"2,557.00","873,058.30"
18/08/2022,335,355,335,351,"3,110.00","1,083,440.00"
21/08/2022,351,355,340.1,346.9,"2,165.00","751,784.50"
22/08/2022,340,347,338,343.9,"3,029.00","1,031,390.50"
23/08/2022,337.1,343,336.4,340,"2,774.00","940,543.00"
24/08/2022,333.3,353,333.3,353,"5,530.00","1,883,711.50"
25/08/2022,346,348.1,333,340.1,"4,871.00","1,676,643.00"
26/08/2022,334,340,330,330,490,"162,483.00"
28/08/2022,325,330,310,312.1,"8,035.00","2,532,624.70"
29/08/2022,312.1,318,306.1,318,"2,224.00","689,252.00"
30/08/2022,315,320,314,315,"2,565.00","812,647.00"
31/08/2022,309.1,317,309,309,"2,505.00","777,519.80"
01/09/2022,303,325,303,310,"4,073.00","1,270,527.80"
02/09/2022,304,312,304,312,430,"132,621.00"
04/09/2022,306,318,306,308.5,"3,768.00","1,163,501.30"
05/09/2022,305,322.9,303.2,309,"1,436.00","447,726.00"
06/09/2022,305,310,305,307,"1,380.00","425,440.00"
07/09/2022,301,306.2,300,301.1,"5,140.00","1,563,290.00"
08/09/2022,297,310,296,308,"2,995.00","905,785.00"
11/09/2022,302,307.9,302,303.2,"1,565.00","474,864.00"
12/09/2022,300,305,300,305,"2,520.00","761,343.00"
